001 ビーパ
002 ポイズンスパイク
003 アライクパ
004 チャロ
005 ビッグボウ
006 ゴースト
007 魔法剣士
008 キャッスルカノン
009 ブラッギス
010 絶望のトビラ
011 キラーレディー
012 プラテウム
013 暗黒魔王
014 インフィニティー
015 ジャンプー
016 AI
017 ストラグラー
018 女神
019 プテラノ
020 ハーピィ
021 リッターエリカ
022 アシュラ
023 スペクタ
024 アタックベル
025 エンペラー
026 マーメイド
027 シータンク
028 ディープシーカー
029 アンチュ
030 ケルピー
031 ダゴン
032 シーミラー
033 ファントムゼリー
034 レッドザガ
035 ブルーザガ
036 オクトバ
037 セイレーン
038 スカルマン
039 メガジョー
040 カメポポン
041 アーマトード
042 キングオクトバ
043 トカ・ゲーン
044 ユキフブキ
045 マッドマネキ
046 ウォーメイド
047 スライムス
048 パイレーズ
049 アーミーアント
050 メカニモンク
051 アサシン
052 フェレット
053 バルキリー
054 アーマジロ
055 黒の王
056 グラディエーター
057 ケンタウルスヘル
058 スフィンクス
059 キマイラ
060 阿
061 云
062 ガルダ
063 カリバーホーン
064 ン・キィー
065 ウォーリアー
066 サラマンダー
067 タイガー剣士
068 バルキリー桜
069 フレイソウル
070 ヴァーンドラ
071 気高き勇士
072 ドラゴノイド
073 パックル
074 タワー
075 リンリン
076 チャイリン
077 ピックル
078 パン
079 ルーン
080 コングボス
081 リッチー
082 ウッデン
083 クワガドス
084 レイコーン
085 鬼ブル
086 ブレスト伯爵
087 ピノ
088 アマゾーネ
089 カブトス
090 レックスセーバー
091 ガブール
092 妖精騎士
093 ランストプス
094 マシンナイト
095 マリーローズ
096 ドラゴセーバー
097 イカロスウイング
098 女神の息吹
099 破壊の業火
100 メイジパラサイト
N01 ピアス
N02 チャリオ
N03 イグアン
N04 ライフルーツ
N05 ピヨヒヨ
N06 エレティカ
N07 トットー
N08 シーラドン
N09 スカルシップ
N10 ネプチューン
N11 ウンディーネ
N12 ホワイトベアー
N13 ブレードタイガー
N14 スコルプ
N15 ジラコバルト
N16 ナーガ
N17 マグマコウモリ
N18 ヒクイドリ
N19 アラクノフォビア
N20 現世の歩兵
N21 カミーラ
N22 ロータン
N23 フランフラワ
N24 マシンファイター
N25 天女の羽衣
N26 転生の宴
N27 道化師の呪い
N28 脆弱の沼
N29 硬気功
N30 背水の陣
N31 ハコリス
N32 ストーンゴーレム
N33 マッドスネイル
N34 アーマードラット
N35 フロストマンティス
N36 サンドワーム
N37 バジリスク
N38 デススモッグ
N39 グレムリン
N40 ブラッドウルフ
N41 ヘルハウンド
N42 ストームドラゴン
N43 マッドジャイアント
N44 スカルロード
N45 デスサイズ
N46 アークエンジェル
N47 ダークエルフ
N48 フレイムロード
N49 サンダーバード
N50 フロストドラゴン
N51 デスドラゴン
N52 アークドラゴン
C01 スカルスネーク
C02 スカルアーマー
C03 スカルアーチャー
C04 スカルナイト
C05 スカルドラゴン
